hip,proper,ra,dec,mag,dist,spect,ci,con,bayer
92008,,18.753198,-61.095196,6.04,354.6099,K3III,1.484,Pav,
92016,,18.755182,-21.001615,6.35,61.1247,F5/F6V,0.458,Sgr,
92021,,18.756639,-56.88197,6.22,212.766,K3III,1.385,Pav,
92024,,18.757465,-64.871259,4.78,28.547,A7V,0.199,Pav,
92027,,18.757879,5.500128,5.82,188.6792,A1V,0.041,Ser,
92040,,18.760574,79.942673,6.4,89.2857,A8V,0.296,Dra,
92041,,18.76094,-26.990778,3.17,73.3676,B8.5III,-0.107,Sgr,Phi
92043,,18.761035,20.546308,4.19,19.2086,F6V,0.483,Her,
92056,,18.762989,74.085553,5.25,96.8054,K0II-III,0.953,Dra,
92072,,18.765554,-50.872715,6.24,373.1343,B8/B9II,-0.08,Tel,
92079,,18.766985,-19.606357,6.34,222.7171,M2/M3III,1.578,Sgr,
92088,,18.767911,26.66213,4.83,78.125,K3III,1.199,Lyr,
92098,,18.77028,41.44181,6.06,279.3296,B6V,-0.12,Lyr,
92111,,18.772391,-22.392176,5.37,209.6436,K5III,1.591,Sgr,
92112,,18.772849,75.433964,5.37,85.8369,A1Vn,0.049,Dra,
92117,,18.77461,-0.961692,5.89,111.8568,A2m,0.131,Aql,
92131,,18.778156,18.705907,6.18,209.6436,K5,1.594,Her,
92133,,18.778634,52.98796,5.91,396.8254,B2.5V,-0.096,Dra,
92136,,18.778701,-10.125048,5.69,100000.0,F2Ib-II,0.584,Sct,
92161,,18.783686,18.181519,4.34,28.8934,A5III,0.148,Her,
92175,,18.786242,-4.747867,4.22,280.8989,G5II...,1.087,Sct,Bet
92202,,18.791375,-5.705147,5.38,100000.0,K0Ibpvar,1.28,Sct,
92226,,18.795726,-40.406167,5.2,121.3592,G5/G6III,0.781,CrA,Mu
92233,,18.796997,-77.868249,6.39,41.4079,G2V,0.593,Oct,
92243,,18.79927,31.756835,6.06,338.9831,B3IVp,-0.139,Lyr,
92254,,18.80074,4.241422,6.2,244.4988,K5,1.509,Ser,
92269,,18.804467,48.767556,6.12,60.1323,A7III,0.225,Dra,
92270,,18.804556,23.514749,6.19,28.7522,F8V,0.492,Her,
92294,,18.810538,-65.077679,5.71,67.7048,A9V,0.268,Pav,The
92296,,18.81097,-6.004311,6.49,230.9469,A2,0.242,Sct,
92301,,18.812614,-18.60115,6.46,312.5,A1V + K1III,0.902,Sgr,
92308,,18.814024,-43.680047,5.46,103.0928,A2Vn,0.133,CrA,Eta-1
92312,,18.814829,19.32872,5.89,87.6424,A1V,0.022,Her,
92367,,18.824257,-45.8101,5.8,109.8901,G6IV,0.891,Tel,
92382,,18.826388,-43.434102,5.6,147.7105,B9IV,-0.077,CrA,Eta-2
92386,,18.826998,0.836197,6.24,179.5332,A1V,0.041,Aql,
92390,,18.827807,-20.324656,5.22,286.533,K2III,1.404,Sgr,
92391,,18.828043,-5.912863,5.99,534.7594,K2Ib,1.568,Sct,
92394,,18.828799,-72.995722,6.04,215.9827,B9.5IV/V,0.033,Pav,
92398,,18.82942,32.81282,5.93,401.6064,B3IV,-0.154,Lyr,Nu-1
92405,,18.831366,32.551058,5.22,70.9723,A3V,0.1,Lyr,Nu-2
92420,Sheliak,18.834665,33.362667,3.52,294.9853,A8:V comp SB,0.003,Lyr,Bet
92456,,18.841992,-13.572262,6.48,413.2231,K1II/III,1.662,Sct,
92475,,18.845986,10.976392,6.37,386.1004,K5III+...,1.443,Aql,
92480,,18.847359,-22.16219,6.29,70.5716,F2IV,0.39,Sgr,
92488,,18.849586,-9.774096,5.82,854.7009,F2Ib,0.594,Sct,
92487,,18.849625,-41.062687,6.5,100000.0,B5III,-0.075,CrA,
92512,,18.853348,59.388351,4.63,104.8218,K0II-III SB,1.185,Dra,Omi
92524,,18.856155,-3.317857,6.08,78.6164,F2III,0.299,Aql,
92549,,18.859712,52.975117,5.51,25.6674,G9IVa,0.843,Dra,
92550,,18.85997,28.783671,6.22,364.9635,K1II-III,1.183,Lyr,
92551,,18.860144,36.539092,6.1,313.4796,B6IV,-0.1,Lyr,
92593,,18.867201,13.965647,6.19,209.205,B8Vnn,-0.008,Her,
92599,,18.868681,41.383244,6.28,492.6108,B9p Si,-0.083,Lyr,
92608,,18.869983,-41.709195,6.47,208.7683,K3III,1.426,CrA,
92609,,18.870288,-62.187593,4.22,438.5965,B2II-III,-0.15,Pav,Lam
92614,,18.87123,21.425142,5.43,124.3781,B9p...,-0.068,Her,
92630,,18.874229,-46.595119,5.51,317.4603,M0III,1.641,Tel,
92635,,18.874532,-26.65077,6.28,113.6364,G8/K0III,0.941,Sgr,
92643,,18.876957,-29.379676,6.12,159.7444,K1III,1.344,Sgr,
92646,,18.877675,-52.10737,5.18,83.3333,G8/K0III,0.962,Tel,Kap
92669,,18.883305,-46.586329,6.17,251.8892,A1IV/V,0.051,Tel,
92674,,18.883836,-9.575521,6.27,99.6016,A7Vn,0.2,Sct,
92676,,18.883987,-48.360913,6.17,81.9672,A2V,0.124,Tel,
92687,,18.886667,-51.931437,6.3,427.3504,B4III,-0.092,Tel,
92689,,18.887096,50.708221,4.92,139.8601,G8III,0.903,Dra,
92717,,18.892556,75.787372,6.33,246.3054,A1V,0.021,Dra,
92728,,18.895433,36.971721,5.58,303.9514,B2.5V,-0.138,Lyr,Del-1
92731,,18.896194,57.486557,6.24,177.6199,K5III:,1.243,Dra,
92747,,18.900025,-21.359845,5.68,502.5126,G8/K0II,1.206,Sgr,
92761,Ainalrami,18.902827,-22.744834,4.86,344.8276,K1II,1.412,Sgr,Nu-1
92768,,18.90368,27.909528,5.64,111.3586,K4III,1.361,Lyr,
92782,,18.90661,71.297192,4.82,105.4852,K0III,1.151,Dra,Ups
92791,,18.908412,36.898613,4.22,225.7336,M4IIvar,1.575,Lyr,Del-2
92814,,18.911976,-15.603036,5.08,429.1845,B3II,0.141,Sct,
92818,,18.912468,22.645076,4.57,144.7178,G4III+...,0.782,Her,
92822,,18.913095,48.859401,5.84,55.2792,F3III,0.452,Dra,
92824,,18.91323,-87.605843,5.29,78.7402,K3III,1.304,Oct,Chi
92831,,18.914494,41.602723,5.46,81.9672,G8III,1.034,Lyr,
92833,,18.914588,33.968576,5.99,358.4229,G8III+...,0.922,Lyr,
92845,,18.918649,-22.671328,5.0,83.9631,K1Ib/II,1.348,Sgr,Nu-2
92855,Nunki,18.92109,-26.296722,2.05,69.8324,B2.5V,-0.134,Sgr,Sig
92862,,18.922249,43.946088,4.08,91.4077,M5IIIvar,1.397,Lyr,
92866,,18.92321,-37.386603,6.48,133.3333,K1III,1.122,CrA,
92872,,18.92429,6.61529,5.58,88.2613,G9III,1.041,Aql,
92882,,18.92528,-16.376635,5.56,31.7158,F5/F6IV/V,0.445,Sgr,
92931,,18.93352,-23.173751,5.91,194.9318,B6III,-0.021,Sgr,
92937,,18.935034,18.10541,5.69,92.2509,K1III,1.092,Her,
92946,Alya,18.936995,4.203595,4.62,47.4158,A5V,0.161,Ser,The-1
92951,Alya B,18.937401,4.202132,4.98,51.9481,A5Vn,0.204,Ser,The-2
92953,,18.938044,-42.710676,5.35,90.5797,G6III-IV,0.998,CrA,
92963,,18.939628,-1.799863,6.2,157.4803,B9III,-0.046,Aql,
92968,,18.940446,2.47119,6.14,156.4945,G8III,0.961,Ser,
92969,,18.940481,65.258084,5.62,96.1538,G8III,0.938,Dra,
92972,,18.940899,-31.689025,6.45,205.7613,K2III,1.223,Sgr,
92989,,18.944582,-37.343241,5.36,131.9261,B3V,-0.147,CrA,
92997,,18.945851,57.814851,5.67,84.674,K1III,1.155,Dra,
93012,,18.948528,-62.801904,6.47,313.4796,K3III,1.535,Pav,
93015,,18.949177,-67.233495,4.4,153.3742,F5Ib-II:,0.53,Pav,Kap
93017,,18.950441,32.901273,5.2,14.8721,G0V,0.594,Lyr,
93026,,18.951019,-5.846314,4.83,62.0347,K1III,1.057,Sct,Eta
93049,,18.953975,-43.917012,6.27,215.9827,B9V,-0.073,CrA,
93051,,18.954608,2.535346,5.56,348.4321,B9IIIp...,0.004,Ser,
93053,,18.954816,62.396773,6.5,95.4198,G5IV comp,0.927,Dra,
93057,,18.955688,-20.656346,5.02,632.9114,B9.5Ib,0.137,Sgr,Xi-1
93068,,18.957909,58.225026,6.47,125.1564,A2V,0.072,Dra,
93074,,18.959554,-39.823195,6.29,59.9161,A5IV/V,0.21,CrA,
93085,,18.962167,-21.106654,3.52,111.9821,G8/K0II/III,1.151,Sgr,Xi-2
93104,,18.967194,38.266188,5.89,177.305,B7IV,-0.09,Lyr,
93117,,18.969455,-83.422198,6.35,169.4915,B9/B9.5V,-0.033,Oct,
93124,,18.970763,17.360912,5.33,473.9336,F8Ib,0.731,Aql,
93134,,18.972579,-31.035975,6.09,137.931,K3III,1.347,Sgr,
93138,,18.973251,6.239929,6.22,56.2114,F5IV,0.478,Aql,
93140,,18.973564,-22.529493,6.14,79.3651,A1V,0.087,Sgr,
